year,sido_code,sido_name,population
2010,11,서울특별시,10312545
2010,26,부산광역시,3567910
2010,27,대구광역시,2511676
2010,28,인천광역시,2758296
2010,29,광주광역시,1454636
2010,30,대전광역시,1503664
2010,31,울산광역시,1126298
2010,41,경기도,11786622
2010,43,충청북도,1549528
2010,44,충청남도,2075514
2010,46,전라남도,1918485
2010,47,경상북도,2689920
2010,48,경상남도,3290536
2010,50,제주특별자치도,571255
2010,51,강원특별자치도,1529818
2010,52,전북특별자치도,1868963
2011,11,서울특별시,10249679
2011,26,부산광역시,3550963
2011,27,대구광역시,2507271
2011,28,인천광역시,2801274
2011,29,광주광역시,1463464
2011,30,대전광역시,1515603
2011,31,울산광역시,1135494
2011,41,경기도,11937415
2011,43,충청북도,1562903
2011,44,충청남도,2101284
2011,46,전라남도,1914339
2011,47,경상북도,2699195
2011,48,경상남도,3308765
2011,50,제주특별자치도,576156
2011,51,강원특별자치도,1536448
2011,52,전북특별자치도,1874031
2012,11,서울특별시,10195318
2012,26,부산광역시,3538484
2012,27,대구광역시,2505644
2012,28,인천광역시,2843981
2012,29,광주광역시,1469216
2012,30,대전광역시,1524583
2012,31,울산광역시,1147256
2012,36,세종특별자치시,113117
2012,41,경기도,12093299
2012,43,충청북도,1565628
2012,44,충청남도,2028777
2012,46,전라남도,1909618
2012,47,경상북도,2698353
2012,48,경상남도,3319314
2012,50,제주특별자치도,583713
2012,51,강원특별자치도,1538630
2012,52,전북특별자치도,1873341
2013,11,서울특별시,10143645
2013,26,부산광역시,3527635
2013,27,대구광역시,2501588
2013,28,인천광역시,2879782
2013,29,광주광역시,1472910
2013,30,대전광역시,1532811
2013,31,울산광역시,1156480
2013,36,세종특별자치시,122153
2013,41,경기도,12234630
2013,43,충청북도,1572732
2013,44,충청남도,2047631
2013,46,전라남도,1907172
2013,47,경상북도,2699440
2013,48,경상남도,3333820
2013,50,제주특별자치도,593806
2013,51,강원특별자치도,1542263
2013,52,전북특별자치도,1872965
2014,11,서울특별시,10103233
2014,26,부산광역시,3519401
2014,27,대구광역시,2493264
2014,28,인천광역시,2902608
2014,29,광주광역시,1475884
2014,30,대전광역시,1531809
2014,31,울산광역시,1166377
2014,36,세종특별자치시,156125
2014,41,경기도,12357830
2014,43,충청북도,1578933
2014,44,충청남도,2062273
2014,46,전라남도,1905780
2014,47,경상북도,2700794
2014,48,경상남도,3350257
2014,50,제주특별자치도,607346
2014,51,강원특별자치도,1544442
2014,52,전북특별자치도,1871560
2015,11,서울특별시,10022181
2015,26,부산광역시,3513777
2015,27,대구광역시,2487829
2015,28,인천광역시,2925815
2015,29,광주광역시,1472199
2015,30,대전광역시,1518775
2015,31,울산광역시,1173534
2015,36,세종특별자치시,210884
